ID,Name,Sublabel,Pathogen_type,R0,CFR_adult,Biosafety,Survive_surfaces,Survive_ideal,CFR_adult_grp,CFR_child,Hits,Hits_news,I_news,I_yucky,I_fear,I_ignored,I_attention,I_notoriety,Mode,Dose,Dose_grp,Dose_type,Incubation,Incubation_range,Incidence,Incidence_raw,Incidence_US,Incidence_Eur,Incidence_Af,Prevalence,Prevalence_raw,DALYs,DALYs_raw,DALYs_US,DALYs_Eur,DALYs_Af,Fatal,Fatal_raw,Fatal_US,Fatal_Eur,Fatal_Af,Peak,Peak_year,Vulnerable,Hotspots,Treatment,Effectiveness,Resistance
58,Sleeping sickness ,(untreated),parasite,1.4,100.00%,2,-,-,Virtually certain,-,"36,00,000","41,500",1.2,18,"1,575",0.0325,"83,00,000","36,00,000",bites,400,"1,000",human,12,Mar-21,0.005,"4,966",0,0,"4,966",0.007,"7,066",0.1,"1,28,442",0,0,"1,28,442","2,300","2,286",0,0,"2,286",-,-,People in rural areas,Sub-Saharan Africa; 70% of reported cases in last 10 years in Democratic Republic of Congo,-,-,-
59,Smallpox,,virus,5,30.00%,4,-,-,Moderate,45%,"23,70,000",753,0.03,-,0.05,6.6401,-,"79,00,000",air droplets,1,1,human,12,Jul-17,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,"5,00,00,000",1950,-,-,-,-,-
60,Syphilis,(untreated),bacterium,-,33.00%,2,11,-,Moderate,-,"1,03,00,000",363,0.004,0,94,-,9,"3,12,12,121",body fluids,57,10,human,21,14-28,39,"3,88,38,005","3,09,042","16,58,911","1,50,95,646",56,"5,60,92,180",9.4,"94,15,746","13,559","34,014","69,38,342","1,10,000","1,09,569",72,179,"81,328",-,-,-,-,-,-,-
61,Syphilis,(all),bacterium,-,0.01%,2,11,-,Virtually zero,9.30%,"1,03,00,000",363,0.004,0,94,-,9,-,body fluids,57,10,human,21,14-28,39,"3,88,38,005","3,09,042","16,58,911","1,50,95,646",56,"5,60,92,180",9.4,"94,15,746","13,559","34,014","69,38,342","1,10,000","1,09,569",72,179,"81,328",-,-,-,-,-,-,-
62,Tuberculosis,,bacterium,2.3,14.10%,3,120,120,Moderate,5.60%,"1,35,00,000","84,300",0.62,0.07,11,0.0267,"9,367",-,air droplets,10,10,human,56,28-84,9,"90,19,296","10,760","1,86,537","23,05,894",9.4,"93,67,855",44,"4,35,57,934","21,580","8,06,697","1,64,73,031","12,10,000","12,13,057",956,"23,435","4,21,376","20,00,000",2005,-,-,-,-,-
63,Tuberculosis ,(untreated),bacterium,2.3,60.00%,3,120,120,High,-,"1,35,00,000","84,300",0.62,0.07,11,0.0267,"9,367","2,25,00,000",air droplets,10,10,human,56,28-84,9,"90,19,296","10,760","1,86,537","23,05,894",9.4,"93,67,855",44,"4,35,57,934","21,580","8,06,697","1,64,73,031","12,10,000","12,13,057",956,"23,435","4,21,376","20,00,000",2005,-,-,-,-,-
64,Typhoid ,(treated),bacterium,1.2,1.00%,3,28,-,Low,1.10%,"88,70,000","7,030",0.08,0.05,69,0.1707,586,"85,77,50,701",fecal-oral,"1,00,000","1,00,000",human,18,15-21,12,"1,17,73,879","1,307","1,879","14,85,406",0.7,"7,45,732",8.8,"88,43,034",339,517,"13,96,234","1,28,000","1,28,175",9,12,"19,246",-,-,-,-,Antibiotics such as Ciprofloxacin,-,Resistant strains have been discovered
65,Typhoid ,(untreated),bacterium,1.2,20.00%,3,28,-,Moderate,-,"88,70,000","7,030",0.08,0.05,69,0.1707,586,"4,43,50,000",fecal-oral,"1,00,000","1,00,000",human,18,15-21,12,"1,17,73,879","1,307","1,879","14,85,406",0.7,"7,45,732",8.8,"88,43,034",339,517,"13,96,234","1,28,000","1,28,175",9,12,"19,246",-,-,-,-,Antibiotics such as Ciprofloxacin,-,Resistant strains have been discovered
66,vCJD,,prion,0.7,100.00%,3,-,-,Virtually certain,-,"3,26,000","6,380",2,-,"11,241",0.1059,"60,76,19,048","3,26,000",food and water,-,-,-,3650,Around 10 years,0.00001,11,0.2,10,0,-,-,-,-,-,-,-,11,11,0.2,10,0,29,2000,-,-,-,-,-
67,West Nile fever,,virus,0.5,4.80%,3,-,-,Low,-,"25,90,000","22,900",0.88,-,-,0.0218,-,"5,37,37,059",bites,1,1,human,4.5,03-Jun,0.0026,"2,588","2,469",-,-,-,-,-,-,-,-,-,-,-,111,-,-,-,-,-,-,-,-,-
68,Whooping cough,,bacterium,9,0.60%,2,4,-,Very low,0.60%,"45,00,000","3,240",0.07,0.04,62,2.7778,270,"75,00,00,000",air droplets,200,100,human,8,Jun-20,12,"1,16,27,370","1,72,444","3,98,251","48,64,130",1.6,"15,92,790",6.2,"62,49,857","3,020","6,249","40,32,759","73,000","73,006",23,43,"47,245","1,60,700",2014,Children. Adults occasionally affected,More than 50% of deaths in Africa,"Antibiotics. Susceptible to erythromycin, macrolides such as azithromycin and clarithromycin, trimethoprim-sulfamethoxazole, floroquinoles such as ciprofloxacin, levofloxacin, and gemifloxacin",-,"Erythromycin resistant strains have been reported since 1994, but the resistance does not seem to be spreading"
69,Yellow fever,,virus,4.3,5.50%,3,-,-,Low,4.70%,"74,50,000","5,090",0.07,0.88,"1,285",0.8448,"50,900","13,52,25,891",bites,-,-,-,5,03-Jun,0.1,"1,12,384",0,0,"1,09,357",0.003,"3,054",0.4,"3,74,015",0,0,"3,65,802","5,800","5,799",0,0,"5,657","45,000",2013,-,Tropical regions of Africa and South America,"No anti-viral drug available, but treatment for symptoms of dehydration, liver and kidney failure improves outcomes",-,-
70,Zika,,virus,4.2,0.00%,2,0.3,0.3,Virtually zero,0.00%,"1,04,00,000","5,02,000",4.8,-,-,0.0084,-,"34,66,66,66,66,667",bites,"1,000","1,000",animal,6,"3-14 days, median 5.8",0.5,"5,00,000",-,-,-,0.13,"1,28,595",-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
71,Chlamydia,,bacterium,1.8,0.00%,2,-,0.1,Virtually zero,0.00%,"1,02,00,000","32,300",0.3,27.14,"8,586",0.0557,438,-,body fluids,-,-,-,8,May-15,74,"7,36,66,588","12,06,389","47,81,167","1,66,22,355",94,"9,35,73,703",0.6,"5,62,418","5,089","28,607","1,42,721","1,190","1,188",26,60,341,-,-,"Females at 15-24 years of age, and males at 20-24 years, men who have sex with men","Developing countries in Africa, South America, Asia and the Caribbean","Antibiotics. Susceptible to tetracyclines, macrolides, rifampicin and recent fluoroquinolones",-,"Not clearly documented, but multiple drug-resistant strains may be emerging against azithromycin, doxycycline, and ofloxacin "
72,Gonorrhea,,bacterium,1,0.00%,2,0.7,1,Virtually zero,0.00%,"55,40,000","23,300",0.4,6.91,"1,644",0.0429,122,-,body fluids,-,-,-,4.5,02-Jul,191,"19,07,65,849","13,10,787","1,14,37,350","6,09,96,473",57,"5,71,23,545",0.7,"6,75,249","4,796","24,020","2,27,575","3,370","3,370",77,173,936,-,-,Females 15-19 years of age,Developing countries,"Antibiotics. Susceptible to third generation cephalosporins, and spectinomycin",-,Often resistant to penicillin and tetracycline
73,HIV,(all),virus,6,53.20%,3,170,-,High,84.30%,"5,84,00,000","73,00,000",12.5,7.1,56,0.0008,"38,42,105","10,98,48,976",body fluids,1,1,human,26,Jul-42,1.9,"18,65,245","45,611","95,442","13,26,557",36,"3,62,13,030",58,"5,75,75,392","4,18,836","15,92,008","4,45,64,391","10,30,000","10,33,751","7,116","28,716","7,86,096","19,00,000",2005,-,-,-,-,-
74,Leishmaniasis,(visceral),parasite,0.5,11.90%,2,0,35,Moderate,10.30%,"26,20,000","2,840",0.11,0.2,192,0.1761,"3,550","2,20,04,048",bites,-,-,-,120,60-180,0.8,"7,98,806",5,821,"1,28,404",0.03,"30,067",1,"9,81,055",0,"1,107","2,88,588","13,700","13,669",0,43,"6,275",-,-,"Malnourished people, migrants or those living near them, those affected by climate change, children under 15","Recent epidemics of visceral leishmaniasis in Ethiopia (2005-06), Kenya (2008) and Southern Sudan (2009-2012).",-,-,Resistance against sodium antimony gluconate has been documented for all species
75,Meningitis,"(meningococcal, all)",bacterium,1.3,37.60%,2,-,-,Moderate,17.10%,"10,60,000","14,000",1.3,0,8,0.0929,"23,333","28,19,359",air droplets,-,-,-,4,02-Oct,0.6,"5,61,372","3,239","14,528","3,86,716",1.7,"16,60,559",8.3,"83,27,140","17,379","84,781","46,52,170","1,27,000","1,27,424",370,"1,618","66,043",-,-,"Babies, preschool children, young people",The 'meningitis belt' â€“ an area of sub-Saharan Africa stretching from Senegal to Ethiopia,"Antibiotics including penicillin, ampicillin and ceftriaxone",Limited.,-
76,Sleeping sickness,(all),parasite,1.4,48.30%,2,-,-,Moderate,39.20%,"36,00,000","41,500",1.2,18,"1,575",0.0325,"83,00,000","74,60,058",bites,400,"1,000",human,12,Mar-21,0.005,"4,966",0,0,"4,966",0.007,"7,066",0.1,"1,28,442",0,0,"1,28,442","2,300","2,286",0,0,"2,286",-,-,People in rural areas,Sub-Saharan Africa; 70% of reported cases in last 10 years in Democratic Republic of Congo,-,-,-
77,Anthrax,"(cutaneous, treated)",bacterium,0,1.00%,3,-,-,Low,-,"1,07,00,000","25,600",0.24,-,-,0,-,"1,07,00,00,000",air droplets,10,10,human,4,04-Jul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,"Antibiotics: Penicillin, ciprofloxacin (and other quinolones), doxicyclin, ampicillin, imipenem, clindamycin, clarithromycin, vancomycin, chloramphenicol, rifampicin are effective antimicrobials.",-,-
78,Scarlet fever,(treated),bacterium,4,1.00%,2,200,200,Low,-,"22,90,000","5,210",0.23,-,-,0.7678,"10,420","22,90,00,000",body fluids,100,100,human,2,01-Mar,0.5,"5,00,000",-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,Antibiotics,-,"Certain strains of the bacterium have been found to resistant to macrolides, lincomycin, chloramphenicol, tetracyclines and cotrimoxazole"
